image_id,wall_type,indoor,description_en,description_bn,color_idea
image_001,brick_wall,1,"Campus wall decorated with a championship trophy, cricket-themed banners, celebratory graphics, and congratulatory messages for the winning team.","চ্যাম্পিয়ন দলকে অভিনন্দন জানিয়ে ট্রফি, ক্রিকেট-থিমযুক্ত ব্যানার, উদযাপনমূলক গ্রাফিক্স ও শুভেচ্ছা বার্তায় সাজানো ক্যাম্পাসের দেয়াল।","black,white"
image_002,brick_wall,1,"Campus wall decorated with a football player, football-themed graphics, trophies, motivational quotes, emojis, letters, and sports-related decorative elements.","ফুটবল খেলোয়াড়ের ছবি, ফুটবল-থিমযুক্ত গ্রাফিক্স, ট্রফি, অনুপ্রেরণামূলক উক্তি, ইমোজি, অক্ষর ও খেলাধুলা-সম্পর্কিত সাজসজ্জায় সজ্জিত ক্যাম্পাসের দেয়াল।","black,white,gold"
image_003,brick_wall,1,"Campus wall decorated with cork sheets, colorful paper crafts, traditional designs for Saree-Panjabi Day","শাড়ি-পাঞ্জাবী দিবসের জন্য কর্ক শিট, রঙিন কাগজের কারুকাজ, ঐতিহ্যবাহী নকশা ও উৎসবমুখর সাংস্কৃতিক সাজসজ্জায় সজ্জিত ক্যাম্পাসের দেয়াল।","green,yellow"
image_004,painted_wall,1,"Campus wall decorated with Alpana, traditional artwork, colorful motifs, and Bengali New Year decorations.","আলপনা, লোকজ শিল্প, রঙিন নকশা ও বাংলা নববর্ষের সাজসজ্জায় সজ্জিত ক্যাম্পাসের দেয়াল।","red,white,green"
image_005,wooden_wall,0,"Campus wall decorated with traditional masks, hand fans, dhol, colorful cultural ornaments, and Bengali New Year motifs.","ঐতিহ্যবাহী মুখোশ, হাতপাখা, ঢোল, রঙিন সাংস্কৃতিক অলংকার ও বাংলা নববর্ষের নকশায় সজ্জিত ক্যাম্পাসের দেয়াল।","red,white"
image_006,painted_wall,1,A colorful floral wall decoration with a welcome message made from handmade paper flowers,হাতে তৈরি রঙিন কাগজের ফুল দিয়ে সাজানো স্বাগতম বার্তাসহ দেয়ালসজ্জা,"yellow,orange,red,black"
image_007,bulletin_board,1,A black decorative photo frame with red and white paper flowers for Amar Ekushey celebration.,অমর একুশে উপলক্ষে লাল-সাদা কাগজের ফুল দিয়ে সাজানো কালো ফটো ফ্রেম,"black,white"
image_008,brick_wall,1,"A brick wall decorated for the CSE Carnival with technology-themed artwork, programming competition displays, coding icons, and colorful event decorations","প্রযুক্তি-অনুপ্রাণিত নকশা, প্রোগ্রামিং ইভেন্টের প্রদর্শনী, কোডিং প্রতীক এবং শিক্ষামূলক সৃজনশীল শিল্পকর্মের মাধ্যমে সিএসই কার্নিভালের জন্য আকর্ষণীয়ভাবে সাজানো ইটের দেয়াল","blue,orange,white,green,yellow"
image_009,brick_wall,1,"A creatively designed exhibition wall featuring football-inspired decorations, international country flags, famous athlete portraits, colorful paper crafts, and artistic displays that celebrate sports and cultural diversity.","ফুটবল-অনুপ্রাণিত সাজসজ্জা, বিভিন্ন দেশের পতাকা, বিখ্যাত ক্রীড়াবিদদের প্রতিকৃতি, রঙিন কাগজের শিল্পকর্ম এবং নান্দনিক প্রদর্শনীর মাধ্যমে খেলাধুলা ও সাংস্কৃতিক বৈচিত্র্যকে তুলে ধরা একটি সৃজনশীল প্রদর্শনী দেয়াল","pink,white"
image_010,brick_wall,1,A football-themed wall decoration featuring sports graphics and colorful artistic elements.,ফুটবল ও ক্রীড়াভিত্তিক রঙিন শিল্পকর্ম দিয়ে সাজানো দেয়ালসজ্জা,"black,white,green,yellow"
